time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
111.567593,0.199614346,-0.17723912,0.153620422,1.648607135,0.715857923,-8.227053642
111.578648,0.210363477,-0.26760143,0.147233605,1.698542833,0.704000533,-8.265804291
111.583177,0.214300245,-0.293132633,0.145532653,1.757923841,0.771108329,-8.338291168
111.587952,0.216606557,-0.318964422,0.143882498,1.809436679,0.875547171,-8.486997604
111.591817,0.218663365,-0.341022491,0.143085271,1.89066577,0.968846858,-8.651557922
111.595495,0.217599913,-0.360277891,0.142339885,1.942488551,1.020201921,-8.803393364
111.599745,0.216215625,-0.381037444,0.141488388,2.017492294,1.052207112,-8.906594276
111.604249,0.213342026,-0.402110994,0.14244619,2.060532093,1.007378936,-8.964609146
111.608598,0.21291773,-0.420101702,0.142020747,2.068357229,0.901671171,-8.975057602
111.611435,0.21280998,-0.437128127,0.142553031,2.046558857,0.798212588,-9.000722885
111.615642,0.212916404,-0.454681307,0.142553031,1.976084352,0.705922484,-8.973383904
111.628534,0.216429204,-0.504598498,0.144148603,1.635316968,0.677837014,-8.99098587
111.63197,0.217173502,-0.526728988,0.14468123,1.531245232,0.71561563,-9.053244591
111.635453,0.217812061,-0.549937725,0.145105913,1.464245558,0.742530286,-9.166427612
111.639587,0.218131289,-0.574299514,0.145745531,1.424531102,0.760930777,-9.282373428
111.639587,0.218131289,-0.574299514,0.145745531,1.424531102,0.760930777,-9.282373428
111.643615,0.219834492,-0.593567252,0.145745888,1.394700289,0.766991973,-9.380080223
111.648802,0.221323565,-0.608885944,0.146916404,1.400632858,0.759234786,-9.477031708
111.652205,0.222174853,-0.620277822,0.147874609,1.401805282,0.733782887,-9.602838516
111.655569,0.223771214,-0.630809486,0.147874787,1.415776372,0.698168218,-9.77628231
111.659604,0.224409699,-0.642306447,0.148832187,1.430446029,0.624720275,-10.00263119
111.663591,0.225899488,-0.655925155,0.150641814,1.453161716,0.530478299,-10.21124554
111.675443,0.238564759,-0.671249449,0.153196886,1.391152978,-0.019667506,-10.76413059
111.679676,0.243032739,-0.673271775,0.153409317,1.319006205,-0.228960142,-10.89981079
111.696382,0.248354644,-0.671144664,0.155643672,1.105356574,-0.307078272,-11.15552998
111.703584,0.250163108,-0.660714686,0.154048339,1.014238834,-0.064435884,-11.09115314
111.707902,0.252505869,-0.651983202,0.152239874,1.028215408,-0.031716049,-11.09971619
111.711482,0.254207671,-0.642728627,0.150429845,1.074811816,-0.109748214,-11.13679028
111.716576,0.256975859,-0.636021972,0.147449896,1.044034004,-0.251551598,-11.21715546
111.719614,0.262932986,-0.636022389,0.145322338,1.00407052,-0.398304522,-11.26065636
111.723471,0.268044859,-0.634957373,0.143725142,1.008311868,-0.541134775,-11.24991989
111.728894,0.272299975,-0.630065024,0.138831109,0.976862311,-0.671926558,-11.26560497
111.728894,0.272299975,-0.630065024,0.138831109,0.976862311,-0.671926558,-11.26560497
111.739634,0.276344359,-0.620058954,0.128611758,1.191935182,-0.810065091,-11.64900303
111.743458,0.273470104,-0.606123984,0.126911372,1.314009666,-0.77325201,-11.66991043
111.748599,0.269424886,-0.578225851,0.123079322,1.435673714,-0.693968534,-11.73458862
111.751432,0.266232371,-0.541734338,0.119569048,1.50379765,-0.639473796,-11.79683971
111.756189,0.264955401,-0.507984996,0.11743997,1.495964527,-0.555840373,-11.75020027
111.759617,0.264529854,-0.476178467,0.11403469,1.320183158,-0.455790371,-11.57389164
111.763458,0.263465285,-0.44882071,0.109350666,1.02761662,-0.361980975,-11.27119541
111.768668,0.266017824,-0.428089648,0.104248598,0.759346902,-0.324210793,-10.93043709
111.771854,0.270385385,-0.408912927,0.09764336,0.577372789,-0.326140374,-10.74433136
111.775957,0.274746686,-0.390934289,0.093708001,0.542897642,-0.366372019,-10.79262161
111.999609,0.096276924,0.097116716,-0.142443985,0.36425218,-0.76766479,-9.294733047
112.104394,-0.001531049,-0.38594535,-0.293778926,-0.625093043,-1.083899021,-8.138842583
112.120395,-0.036218658,-0.493204087,-0.32240361,-0.478342861,-0.790454447,-8.540070534
112.125253,-0.043346729,-0.515761554,-0.330596745,-0.405710101,-0.679972947,-8.692651749
112.128379,-0.052393127,-0.532153785,-0.338367134,-0.348208129,-0.631236911,-8.813642502
112.133513,-0.060905322,-0.545347452,-0.344857156,-0.310589045,-0.646727562,-8.922476768
112.133513,-0.060905322,-0.545347452,-0.344857156,-0.310589045,-0.646727562,-8.922476768
112.136369,-0.068676449,-0.555142939,-0.351138383,-0.252607316,-0.704902172,-9.04635334
112.14028,-0.074423201,-0.560678005,-0.357737541,-0.153466761,-0.77203548,-9.221784592
112.145273,-0.080488205,-0.563337445,-0.364546984,-0.077041954,-0.879854679,-9.416654587
112.14824,-0.08559867,-0.565892756,-0.371574134,0.028044807,-1.023610711,-9.646817207
